Sample in Buffer,Sample in Window,TRIGGER,design_1_i/NV_nvdla_wrapper_0_dla_intr,design_1_i/tdc_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,OCTAL
237,237,0,0,00000000205
238,238,0,0,00000000153
239,239,0,0,00000000152
240,240,0,0,00000000153
241,241,0,0,00000000166
242,242,0,0,00000000176
243,243,0,0,00000000204
244,244,0,0,00000000207
245,245,0,0,00000000151
246,246,0,0,00000000155
247,247,0,0,00000000152
248,248,0,0,00000000200
249,249,0,0,00000000177
250,250,0,0,00000000176
251,251,0,0,00000000204
252,252,0,0,00000000156
253,253,0,0,00000000154
254,254,0,0,00000000155
255,255,0,0,00000000200
256,256,0,0,00000000174
257,257,0,0,00000000202
258,258,0,0,00000000207
259,259,0,0,00000000152
260,260,0,0,00000000162
261,261,0,0,00000000153
262,262,0,0,00000000174
263,263,0,0,00000000173
264,264,0,0,00000000204
265,265,0,0,00000000205
266,266,0,0,00000000152
267,267,0,0,00000000154
268,268,0,0,00000000153
269,269,0,0,00000000170
270,270,0,0,00000000172
271,271,0,0,00000000177
272,272,0,0,00000000213
273,273,0,0,00000000154
274,274,0,0,00000000153
275,275,0,0,00000000163
276,276,0,0,00000000176
277,277,0,0,00000000200
278,278,0,0,00000000176
279,279,0,0,00000000205
280,280,0,0,00000000153
281,281,0,0,00000000153
282,282,0,0,00000000153
283,283,0,0,00000000165
284,284,0,0,00000000173
285,285,0,0,00000000173
286,286,0,0,00000000206
287,287,0,0,00000000143
288,288,0,0,00000000151
289,289,0,0,00000000154
290,290,0,0,00000000175
291,291,0,0,00000000174
292,292,0,0,00000000177
293,293,0,0,00000000204
294,294,0,0,00000000152
295,295,0,0,00000000146
296,296,0,0,00000000161
297,297,0,0,00000000171
298,298,0,0,00000000172
299,299,0,0,00000000202
300,300,0,0,00000000205
301,301,0,0,00000000152
302,302,0,0,00000000152
303,303,0,0,00000000153
304,304,0,0,00000000166
305,305,0,0,00000000172
306,306,0,0,00000000174
307,307,0,0,00000000204
308,308,0,0,00000000147
309,309,0,0,00000000153
310,310,0,0,00000000153
311,311,0,0,00000000174
312,312,0,0,00000000173
313,313,0,0,00000000176
