Sample in Buffer,Sample in Window,TRIGGER,design_1_i/ro_bank_0_data_o[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
311,311,0,00000075
312,312,0,00000075
313,313,0,00000074
314,314,0,00000074
315,315,0,00000077
316,316,0,00000077
317,317,0,00000073
318,318,0,00000073
319,319,0,00000074
320,320,0,00000074
321,321,0,00000077
322,322,0,00000077
323,323,0,00000071
324,324,0,00000071
325,325,0,00000077
326,326,0,00000077
327,327,0,00000071
328,328,0,00000071
329,329,0,00000079
330,330,0,00000079
331,331,0,00000074
332,332,0,00000074
333,333,0,00000075
334,334,0,00000075
335,335,0,00000070
336,336,0,00000070
337,337,0,00000074
338,338,0,00000074
339,339,0,00000077
340,340,0,00000077
341,341,0,00000073
342,342,0,00000073
343,343,0,00000073
344,344,0,00000073
345,345,0,00000076
346,346,0,00000076
347,347,0,00000076
348,348,0,00000076
349,349,0,00000075
350,350,0,00000075
351,351,0,00000072
352,352,0,00000072
353,353,0,00000074
354,354,0,00000074
355,355,0,00000076
356,356,0,00000076
357,357,0,00000073
358,358,0,00000073
359,359,0,00000071
360,360,0,00000071
361,361,0,0000007a
362,362,0,0000007a
363,363,0,00000072
364,364,0,00000072
365,365,0,00000073
366,366,0,00000073
367,367,0,00000073
368,368,0,00000073
369,369,0,00000075
370,370,0,00000075
371,371,0,00000074
372,372,0,00000074
373,373,0,00000075
374,374,0,00000075
375,375,0,00000076
376,376,0,00000076
377,377,0,0000006f
378,378,0,0000006f
379,379,0,00000078
380,380,0,00000078
381,381,0,00000070
382,382,0,00000070
383,383,0,00000078
384,384,0,00000078
385,385,0,00000074
386,386,0,00000074
387,387,0,00000076
388,388,0,00000076
389,389,0,00000073
390,390,0,00000073
391,391,0,00000073
392,392,0,00000073
393,393,0,00000076
394,394,0,00000076
395,395,0,00000078
396,396,0,00000078
397,397,0,00000074
398,398,0,00000074
399,399,0,00000073
400,400,0,00000073
401,401,0,00000074
402,402,0,00000074
403,403,0,00000078
404,404,0,00000078
405,405,0,0000006f
406,406,0,0000006f
407,407,0,00000075
408,408,0,00000075
409,409,0,00000074
410,410,0,00000074
411,411,0,00000072
412,412,0,00000072
413,413,0,00000075
414,414,0,00000075
415,415,0,00000074
416,416,0,00000074
417,417,0,00000073
418,418,0,00000073
419,419,0,00000076
420,420,0,00000076
421,421,0,00000070
422,422,0,00000070
423,423,0,00000076
424,424,0,00000076
425,425,0,00000072
426,426,0,00000072
427,427,0,00000077
428,428,0,00000077
429,429,0,00000075
430,430,0,00000075
431,431,0,00000074
432,432,0,00000074
433,433,0,00000076
434,434,0,00000076
435,435,0,00000075
436,436,0,00000075
437,437,0,00000074
438,438,0,00000074
439,439,0,00000072
440,440,0,00000072
441,441,0,00000074
442,442,0,00000074
443,443,0,00000077
444,444,0,00000077
445,445,0,00000072
446,446,0,00000072
447,447,0,00000077
448,448,0,00000077
449,449,0,00000074
450,450,0,00000074
451,451,0,00000074
452,452,0,00000074
453,453,0,00000076
454,454,0,00000076
455,455,0,00000076
456,456,0,00000076
457,457,0,00000073
458,458,0,00000073
459,459,0,00000070
460,460,0,00000070
461,461,0,0000007a
462,462,0,0000007a
463,463,0,00000072
464,464,0,00000072
465,465,0,00000074
466,466,0,00000074
467,467,0,00000075
468,468,0,00000075
469,469,0,00000075
470,470,0,00000075
471,471,0,00000075
472,472,0,00000075
473,473,0,00000075
474,474,0,00000075
475,475,0,00000073
476,476,0,00000073
477,477,0,00000074
478,478,0,00000074
479,479,0,00000073
480,480,0,00000073
481,481,0,00000077
482,482,0,00000077
483,483,0,00000075
484,484,0,00000075
485,485,0,00000072
486,486,0,00000072
487,487,0,00000074
488,488,0,00000074
489,489,0,00000074
490,490,0,00000074
491,491,0,00000076
492,492,0,00000076
493,493,0,00000073
494,494,0,00000073
495,495,0,00000074
496,496,0,00000074
497,497,0,00000076
498,498,0,00000076
499,499,0,00000072
500,500,0,00000072
501,501,0,00000074
502,502,0,00000074
503,503,0,00000079
504,504,0,00000079
505,505,0,0000006f
506,506,0,0000006f
507,507,0,00000074
508,508,0,00000074
509,509,0,00000075
510,510,0,00000075
511,511,0,00000078
512,512,1,00000078
513,513,0,00000072
514,514,0,00000072
515,515,0,00000075
516,516,0,00000075
517,517,0,00000074
518,518,0,00000074
519,519,0,00000073
520,520,0,00000073
521,521,0,00000074
522,522,0,00000074
523,523,0,00000074
524,524,0,00000074
525,525,0,00000078
526,526,0,00000078
527,527,0,00000074
528,528,0,00000074
529,529,0,00000072
530,530,0,00000072
531,531,0,00000075
532,532,0,00000075
533,533,0,00000075
534,534,0,00000075
535,535,0,00000077
536,536,0,00000077
537,537,0,00000077
538,538,0,00000077
539,539,0,0000006f
540,540,0,0000006f
541,541,0,00000075
542,542,0,00000075
543,543,0,00000075
544,544,0,00000075
545,545,0,00000072
546,546,0,00000072
547,547,0,00000075
548,548,0,00000075
549,549,0,00000078
550,550,0,00000078
551,551,0,00000071
552,552,0,00000071
553,553,0,00000077
554,554,0,00000077
555,555,0,00000073
556,556,0,00000073
557,557,0,00000072
558,558,0,00000072
559,559,0,00000076
560,560,0,00000076
561,561,0,00000075
562,562,0,00000075
563,563,0,00000073
564,564,0,00000073
565,565,0,0000007a
566,566,0,0000007a
567,567,0,0000006f
568,568,0,0000006f
569,569,0,00000078
570,570,0,00000078
571,571,0,00000074
572,572,0,00000074
573,573,0,00000073
574,574,0,00000073
575,575,0,00000074
576,576,0,00000074
577,577,0,00000077
578,578,0,00000077
579,579,0,00000076
580,580,0,00000076
581,581,0,00000072
582,582,0,00000072
583,583,0,00000076
584,584,0,00000076
585,585,0,00000073
586,586,0,00000073
587,587,0,00000074
588,588,0,00000074
589,589,0,00000076
590,590,0,00000076
591,591,0,00000074
592,592,0,00000074
593,593,0,00000074
594,594,0,00000074
595,595,0,00000072
596,596,0,00000072
597,597,0,00000075
598,598,0,00000075
599,599,0,00000075
600,600,0,00000075
601,601,0,00000077
602,602,0,00000077
603,603,0,00000070
604,604,0,00000070
605,605,0,00000075
606,606,0,00000075
607,607,0,00000077
608,608,0,00000077
609,609,0,00000075
610,610,0,00000075
611,611,0,00000075
612,612,0,00000075
613,613,0,00000074
614,614,0,00000074
615,615,0,00000073
616,616,0,00000073
617,617,0,00000075
618,618,0,00000075
619,619,0,00000076
620,620,0,00000076
621,621,0,00000072
622,622,0,00000072
623,623,0,00000073
624,624,0,00000073
625,625,0,00000074
626,626,0,00000074
627,627,0,00000076
628,628,0,00000076
629,629,0,00000073
630,630,0,00000073
631,631,0,00000073
632,632,0,00000073
633,633,0,00000075
634,634,0,00000075
635,635,0,00000076
636,636,0,00000076
637,637,0,00000074
638,638,0,00000074
639,639,0,00000070
640,640,0,00000070
641,641,0,00000079
642,642,0,00000079
643,643,0,00000072
644,644,0,00000072
645,645,0,00000074
646,646,0,00000074
647,647,0,00000074
648,648,0,00000074
649,649,0,00000076
650,650,0,00000076
651,651,0,00000074
652,652,0,00000074
653,653,0,00000076
654,654,0,00000076
655,655,0,00000072
656,656,0,00000072
657,657,0,00000075
658,658,0,00000075
659,659,0,00000073
660,660,0,00000073
661,661,0,00000075
662,662,0,00000075
663,663,0,00000074
664,664,0,00000074
665,665,0,00000076
666,666,0,00000076
667,667,0,00000075
668,668,0,00000075
669,669,0,00000071
670,670,0,00000071
671,671,0,00000078
672,672,0,00000078
673,673,0,00000072
674,674,0,00000072
675,675,0,00000075
676,676,0,00000075
677,677,0,00000077
678,678,0,00000077
679,679,0,00000072
680,680,0,00000072
681,681,0,00000074
682,682,0,00000074
683,683,0,00000073
684,684,0,00000073
685,685,0,00000076
686,686,0,00000076
687,687,0,00000076
688,688,0,00000076
689,689,0,00000073
690,690,0,00000073
691,691,0,00000073
692,692,0,00000073
693,693,0,00000076
694,694,0,00000076
695,695,0,00000072
696,696,0,00000072
697,697,0,00000073
698,698,0,00000073
699,699,0,00000073
700,700,0,00000073
701,701,0,00000073
702,702,0,00000073
703,703,0,00000076
704,704,0,00000076
705,705,0,00000076
706,706,0,00000076
707,707,0,00000076
708,708,0,00000076
709,709,0,00000071
710,710,0,00000071
711,711,0,00000075
712,712,0,00000075
713,713,0,00000077
714,714,0,00000077
715,715,0,00000074
716,716,0,00000074
717,717,0,00000072
718,718,0,00000072
719,719,0,00000072
720,720,0,00000072
721,721,0,00000079
722,722,0,00000079
723,723,0,00000073
724,724,0,00000073
725,725,0,00000072
726,726,0,00000072
727,727,0,00000074
728,728,0,00000074
729,729,0,00000075
730,730,0,00000075
731,731,0,00000074
732,732,0,00000074
733,733,0,00000074
734,734,0,00000074
735,735,0,00000076
736,736,0,00000076
737,737,0,00000073
738,738,0,00000073
739,739,0,00000073
740,740,0,00000073
741,741,0,00000076
742,742,0,00000076
743,743,0,00000072
744,744,0,00000072
745,745,0,00000076
746,746,0,00000076
747,747,0,00000073
748,748,0,00000073
749,749,0,00000075
750,750,0,00000075
751,751,0,00000076
752,752,0,00000076
753,753,0,00000075
754,754,0,00000075
755,755,0,00000071
756,756,0,00000071
757,757,0,00000076
758,758,0,00000076
759,759,0,00000070
760,760,0,00000070
761,761,0,00000075
762,762,0,00000075
763,763,0,00000077
764,764,0,00000077
765,765,0,00000073
766,766,0,00000073
767,767,0,00000073
768,768,0,00000073
769,769,0,00000075
770,770,0,00000075
771,771,0,00000075
772,772,0,00000075
773,773,0,00000074
774,774,0,00000074
775,775,0,00000077
776,776,0,00000077
777,777,0,00000070
778,778,0,00000070
779,779,0,00000079
780,780,0,00000079
781,781,0,00000073
782,782,0,00000073
783,783,0,00000075
784,784,0,00000075
785,785,0,00000072
786,786,0,00000072
787,787,0,00000075
788,788,0,00000075
789,789,0,00000076
790,790,0,00000076
791,791,0,00000070
792,792,0,00000070
793,793,0,00000079
794,794,0,00000079
795,795,0,00000073
796,796,0,00000073
797,797,0,00000076
798,798,0,00000076
799,799,0,00000074
800,800,0,00000074
801,801,0,00000072
802,802,0,00000072
803,803,0,00000077
804,804,0,00000077
805,805,0,00000072
806,806,0,00000072
807,807,0,00000077
808,808,0,00000077
809,809,0,00000074
810,810,0,00000074
811,811,0,00000072
812,812,0,00000072
813,813,0,00000076
814,814,0,00000076
815,815,0,00000075
